date,vader_compound,vader_label
2024-12-20,-0.5719,NEGATIVE
2024-12-12,0.8196,POSITIVE
2024-12-24,0.1027,POSITIVE
2024-12-23,-0.7988,NEGATIVE
2024-12-28,-0.4019,NEGATIVE
2024-12-18,0.5719,POSITIVE
2024-12-01,-0.4215,NEGATIVE
2024-12-02,0.8074,POSITIVE
2024-12-29,-0.6298,NEGATIVE
2024-12-28,-0.5162,NEGATIVE
2024-12-03,0.0,NEUTRAL
2024-12-16,0.25,POSITIVE
2024-12-18,0.3182,POSITIVE
2024-12-08,-0.6124,NEGATIVE
2024-12-25,0.8507,POSITIVE
2024-12-23,-0.6107,NEGATIVE
